ID;Helicopter;EMPTY_WEIGHT;MTOW;FUEL_CAPACITY;ENGINE_TYPE;ENGINE_NUMBER;MAX_TO_RATING;MAX_USABLE_POWER;R_MAIN;C_MAIN;SOLIDITY_MAIN;N_BLADE_MAIN;TIP_SPEED_MAIN;TWIST_DEG_MAIN;HINGE_OFFSET_RATIO_MAIN;AIRFOIL_MAIN;COLLECTIVE_MAIN;LONGITUDINAL_CYCLIC_MAIN;LATERAL_CYCLIC_MAIN;POLAR_INERTIA_MAIN;R_TAIL;C_TAIL;SOLIDITY_TAIL;N_BLADE_TAIL;TIP_SPEED_TAIL;TWIST_DEG_TAIL;HINGE_OFFSET_RATIO_TAIL;AIRFOIL_TAIL;COLLECTIVE_TAIL;LONGITUDINAL_CYCLIC_TAIL;LATERAL_CYCLIC_TAIL;POLAR_INERTIA_TAIL
1;AS322;4420;8600;1620;Turbomeca Makila 1A1;2;2712;2133;7.79;0.6;0.098;4;217;-12.06;0.037;HAS 13112,13109,13106;[-12.5 12.5];[-15 15];[-4.5 9];7035;1.525;0.2;0.209;5;204;-15.71;0.072;NACA 23012-23010;[-20 21];0;0;13.1
2;SA365;1900;4000;892;Turbomeca Arriel 1C;2;984;899;5.965;0.385;0.082;4;218;-10.2;0.038;OA 212,209,207;[-4.25 9.5];[-13 13];[-6.5 6.5];2090;0.45;0.0435;0.03;13;227;-8;0;NACA 63A312,63A309;[-33 34];0;0;0.35
3;AS350B;1051;1950;405;Turbomeca Arriel 1B;1;478;441;5.345;0.3;0.0536;3;213;-12.275;0.038;NACA 0012;[-7.5 7.5];[-13 13];[-6 6];995;0.93;0.185;0.127;2;199;0;0;NACA 0012;[-13 13];0;0;1.06
4;A109;1496.8536;2599.08216;545.217584;Allison 250-C20B;2;626.388;551.818;5.498592;0.33528;0.0775;4;221.5896;-6;0.027;NACA 23011.3/13006;[0 16];[-10.5 12.5];[-6.25 6.25];2711.634;1.014984;0.201168;0.1256;2;221.5896;0;0;NACA 0016,0009;[-7 21];0;0;2.711634
5;BELL206;1008.335016;1882.4068;341.554776;Allison 250-C30;1;516.0244;340.0392;5.6388;0.3300984;0.0373;2;232.5624;-11.1;0.03;DROOP SNOOT;[6 22];[-10 10];[-10 10];981.611508;0.826008;0.1338072;0.1031;2;220.0656;0;0;NACA 0012.5;[19.5 -12.45];0;0;7.9993203
6;BELL412;2868.9694;5397.7448;1019.674816;PW PT6-3B;2;1342.26;1043.98;7.0104;0.381;0.0699;4;237.744;-15.5;0.25;FX71H080;[0 16];[-11 11];[-12.6 6.7];3742.05492;1.2954;0.292608;0.1435;2;218.2368;0;0;NACA 0018;[19.85 -10.15];0;0;7.9993203
7;AH-1S;2992.800016;4535.92;763.848928;LYC 703;1;1342.26;961.953;6.7056;0.6858;0.065;2;227.3808;-10;0.03;SYM 9.33%;[8.5 24];[-10 10];[-10 10];3755.61309;1.2954;0.292608;0.1435;2;225.2472;0;0;NACA 0018;[19.85 -10.15];0;0;7.9993203
8;BELL222;2235.754968;3864.60384;578.3298;LYC 750C;2;1096.179;811.3216;6.4008;0.6605016;0.0657;2;233.172;-10.74;0.03;FX71H;[2.7 20.7];[-13 15];[-9 9];2256.079488;1.05156;0.24384;0.1476;2;204.5208;0;0;BHT 10.9;[-1.7 25];0;0;1.355817
9;AH-64;4657.482656;8005.8988;1107.671664;GE701;2;2529.4144;2108.8396;7.3152;0.5334;0.092;4;221.2848;-9;0.038;HH-02;[1 19];[-10 20];[-10.5 7];5152.1046;1.40208;0.252984;0.231;4;206.3496;-8;0;NACA 63414;[-15 27];0;0;13.55817
10;UH-60;4944.606392;9979.024;1067.301976;GE700;2;2301.2302;2108.8396;8.177784;0.527304;0.082;4;220.98;-18;0.47;SC 1095;[9.9 25.9];[-12.3 16.5];[-8 8];9572.06802;1.6764;0.246888;0.188;4;208.788;-17;0;SC 1095;[-15.6 23];0;0;26.4384315
11;S-76A;2515.621232;4671.9976;850.938592;Allison 250-C20S;2;969.41;969.41;6.7056;0.393192;0.0747;4;205.74;-10;0.038;SC 1095;[4 22.7];[-14.75 19.25];[-7.1 9.7];2562.49413;1.2192;0.164592;0.1719;4;205.4352;-8;0;SC 1095;[-14.2 14.5];0;0;5.47750068
12;Westland30;3492.6584;5805.9776;1064.126832;RR Gem41-1;2;1491.4;1387.002;6.653784;0.3941064;0.0754;4;227.076;832;0.123;NPL 9615, 9617;[6.25 23.25];[-8.7 14];[-7 8];2948.901975;1.2954;0.188976;0.182;4;222.8088;0;0.056;RAE 9670;[-9.2 31.4];0;0;4.6097778
